"","Country_Region","Confirmed","Deaths","Recovered","Date","Region","New Cases","New Deaths","New Recoveries","DaysSince","Exposure","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty","lnhiv","lnasthma","lntraffic","nrows","PopTotal","ConfirmedScaled"
"1","Tanzania",13,0,0,2020-03-26,"East",1,0,0,-5,11,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000217630723618975
"2","Tanzania",14,0,1,2020-03-28,"East",1,0,0,-3,13,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000234371548512743
"3","Tanzania",19,0,1,2020-03-30,"East",5,0,0,-1,15,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000318075672981579
"4","Tanzania",20,1,1,2020-04-01,"East",1,0,0,1,17,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000334816497875347
"5","Tanzania",22,1,3,2020-04-05,"East",2,0,0,5,21,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000368298147662881
"6","Tanzania",24,1,3,2020-04-06,"East",2,0,0,6,22,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000401779797450416
"7","Tanzania",25,1,5,2020-04-08,"East",1,0,0,8,24,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000418520622344183
"8","Tanzania",32,3,5,2020-04-10,"East",7,2,0,10,26,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000535706396600555
"9","Tanzania",49,3,7,2020-04-13,"East",17,0,2,13,29,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000820300419794599
"10","Tanzania",53,3,7,2020-04-14,"East",4,0,0,14,30,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.000887263719369668
"11","Tanzania",88,4,11,2020-04-15,"East",35,1,4,15,31,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.00147319259065152
"12","Tanzania",94,4,11,2020-04-16,"East",6,0,0,16,32,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.00157363754001413
"13","Tanzania",147,5,11,2020-04-17,"East",53,1,0,17,33,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.0024609012593838
"14","Tanzania",170,7,11,2020-04-19,"East",23,2,0,19,35,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.00284594023194045
"15","Tanzania",254,10,11,2020-04-20,"East",84,3,0,20,36,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.0042521695230169
"16","Tanzania",284,10,11,2020-04-22,"East",30,0,0,22,38,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.00475439426982992
"17","Tanzania",299,10,48,2020-04-24,"East",15,0,37,24,40,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.00500550664323643
"18","Tanzania",480,16,167,2020-04-29,"East",181,6,119,29,45,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.00803559594900832
"19","Tanzania",509,21,183,2020-05-08,"East",29,5,16,38,54,-0.843970060348511,-1.07880961894989,0.6931471824646,1.6193882226944,3.85014748573303,3.55534815788269,8.10627555847168,14.9473123550415,14.2086038589478,1,59734.213,0.00852107987092757
"20","Cameroon",64809,939,35261,2021-04-17,"Central",3078,20,0,382,408,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,2.44139727379
"21","Cameroon",65998,991,35261,2021-04-23,"Central",1189,52,0,388,414,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,2.48618767880375
"22","Cameroon",72250,1107,35261,2021-04-29,"Central",6252,116,0,394,420,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,2.72170459398119
"23","Cameroon",74946,1152,35261,2021-05-06,"Central",2696,45,0,401,427,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,2.8232646712874
"24","Cameroon",77429,1189,35261,2021-05-18,"Central",2483,37,0,413,439,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,2.91680089975598
"25","Central African Republic",7010,96,5112,2021-05-18,"Central",144,1,0,413,430,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.45141667377536
"26","Cameroon",77733,1239,35261,2021-05-21,"Central",304,50,0,416,442,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,2.92825277790921
"27","Central African Republic",7079,97,6665,2021-05-23,"Central",69,1,1553,418,435,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.46570308611352
"28","Cameroon",77982,1270,35261,2021-05-26,"Central",249,31,0,421,447,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,2.93763277021234
"29","Central African Republic",7083,97,6665,2021-05-26,"Central",4,0,0,421,438,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.46653128393023
"30","Central African Republic",7085,98,6665,2021-05-28,"Central",2,1,0,423,440,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.46694538283858
"31","Cameroon",78929,1275,35261,2021-05-29,"Central",947,5,0,424,450,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,2.9733068774857
"32","Central African Republic",7091,98,6859,2021-05-30,"Central",6,0,194,425,442,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.46818767956364
"33","Benin",8082,102,7893,2021-06-02,"West",24,1,0,428,444,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.666655778450538
"34","Central African Republic",7101,98,6859,2021-06-07,"Central",10,0,0,433,450,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.4702581741054
"35","Cameroon",79904,1302,35261,2021-06-08,"Central",975,27,0,434,460,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.01003576301001
"36","Benin",8109,102,7979,2021-06-09,"West",27,0,86,435,451,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.668882913567856
"37","Cameroon",80090,1310,35261,2021-06-11,"Central",186,8,0,437,463,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.0170425042485
"38","Benin",8140,103,7979,2021-06-15,"West",31,1,0,441,457,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.67143999462848
"39","Cameroon",80328,1313,35261,2021-06-16,"Central",238,3,0,442,468,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.02600811938161
"40","Central African Republic",7129,98,6859,2021-06-21,"Central",28,0,0,447,464,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.47605555882234
"41","Benin",8170,104,8000,2021-06-22,"West",30,1,21,448,464,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323,6.69985628128052,12.8600120544434,NA,1001,12123.198,0.673914589203278
"42","Cameroon",80487,1320,35261,2021-06-22,"Central",159,7,0,448,474,-0.713349878787994,-0.579818487167358,0.6931471824646,1.60743582248688,3.63758611679077,3.49650764465332,7.91109895706177,13.7075986862183,12.487998008728,1,26545.864,3.03199775302096
"43","Central African Republic",7137,98,6859,2021-06-22,"Central",8,0,0,448,465,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.47771195445575
"44","Central African Republic",7139,98,6859,2021-06-23,"Central",2,0,0,449,466,-1.23787438869476,-0.891598105430603,0,1.59127390384674,2.56494927406311,2.94443893432617,7.83672857284546,12.2808084487915,NA,812,4829.764,1.4781260533641
"45","Congo (Brazzaville)",12485,165,11211,2021-06-25,"Central",81,1,0,451,468,-0.597836971282959,-0.400477528572083,0.6931471824646,1.46093785762787,3.85014748573303,3.58351898193359,7.65349960327148,12.5498676300049,12.7185935974121,1,NA,NA
